CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2805807013;Fuenlabrada;1600;5;0;0;2018-10-17_14_47_59
2805807014;Fuenlabrada;1807;23;9.28;2;2018-10-17_14_47_59
2805808001;Fuenlabrada;2064;6;10.53;1;2018-10-17_14_47_59
2805808002;Fuenlabrada;2121;3;8.33;1;2018-10-17_14_47_59
2805808003;Fuenlabrada;1572;2;0;0;2018-10-17_14_47_59
2805808004;Fuenlabrada;1805;1;9.00;1;2018-10-17_14_47_59
2805808005;Fuenlabrada;1636;3;0;0;2018-10-17_14_47_59
2805808006;Fuenlabrada;1728;17;9.46;1;2018-10-17_14_47_59
2805808007;Fuenlabrada;1515;4;0;0;2018-10-17_14_47_59
2805808008;Fuenlabrada;1719;10;0;0;2018-10-17_14_47_59
2805808009;Fuenlabrada;1814;3;0;0;2018-10-17_14_47_59
2805808010;Fuenlabrada;1441;3;0;0;2018-10-17_14_47_59
2805808011;Fuenlabrada;1260;1;0;0;2018-10-17_14_47_59
2805808012;Fuenlabrada;1705;1;0;0;2018-10-17_14_47_59
2805808013;Fuenlabrada;1650;2;0;0;2018-10-17_14_47_59
2805808014;Fuenlabrada;0;0;0;0;2018-10-17_14_47_59
2805808015;Fuenlabrada;1759;6;0;0;2018-10-17_14_47_59
2805809001;Fuenlabrada;1745;3;0;0;2018-10-17_14_47_59
2805809002;Fuenlabrada;1795;10;7.14;1;2018-10-17_14_47_59
2805809003;Fuenlabrada;1817;10;0;0;2018-10-17_14_47_59
2805809004;Fuenlabrada;2024;4;8.22;2;2018-10-17_14_47_59
2805809005;Fuenlabrada;1897;7;7.70;3;2018-10-17_14_47_59
2805809006;Fuenlabrada;1492;7;6.53;1;2018-10-17_14_47_59
2805809007;Fuenlabrada;1503;8;0;0;2018-10-17_14_47_59
2805809008;Fuenlabrada;1711;13;0;0;2018-10-17_14_47_59
2805809009;Fuenlabrada;1201;1;0;0;2018-10-17_14_47_59
2805809010;Fuenlabrada;1934;2;0;0;2018-10-17_14_47_59
2805809011;Fuenlabrada;1772;3;0;0;2018-10-17_14_47_59
2805809012;Fuenlabrada;1588;1;0;0;2018-10-17_14_47_59
