CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2806504006;Getafe;1587;7;0;0;2018-10-17_15_47_14
2806504007;Getafe;2146;3;0;0;2018-10-17_15_47_14
2806504008;Getafe;1878;6;0;0;2018-10-17_15_47_14
2806504009;Getafe;1789;4;0;0;2018-10-17_15_47_14
2806504010;Getafe;1992;2;0;0;2018-10-17_15_47_14
2806504011;Getafe;1821;5;0;0;2018-10-17_15_47_14
2806504012;Getafe;0;0;0;0;2018-10-17_15_47_14
2806504013;Getafe;2096;4;0;0;2018-10-17_15_47_14
2806504014;Getafe;1503;2;0;0;2018-10-17_15_47_14
2806504015;Getafe;2006;3;0;0;2018-10-17_15_47_14
2806504016;Getafe;1338;1;0;0;2018-10-17_15_47_14
2806504017;Getafe;1509;3;0;0;2018-10-17_15_47_14
2806504018;Getafe;1733;3;9.50;1;2018-10-17_15_47_14
2806504021;Getafe;1729;2;0;0;2018-10-17_15_47_14
2806504022;Getafe;1448;1;10.00;2;2018-10-17_15_47_14
2806504023;Getafe;1096;1;0;0;2018-10-17_15_47_14
2806504024;Getafe;1998;1;0;0;2018-10-17_16_02_55
2806504025;Getafe;2002;3;0;0;2018-10-17_16_02_55
2806504026;Getafe;1689;3;0;0;2018-10-17_16_02_55
2806504027;Getafe;1671;5;0;0;2018-10-17_16_02_55
2806504028;Getafe;1598;5;0;0;2018-10-17_16_02_55
2806504029;Getafe;1522;6;9.47;1;2018-10-17_16_02_55
2806504030;Getafe;1816;5;9.17;2;2018-10-17_16_02_55
2806504031;Getafe;1454;2;7.93;1;2018-10-17_16_02_55
2806504032;Getafe;2155;12;10.00;1;2018-10-17_16_02_55
2806504033;Getafe;1494;22;6.91;2;2018-10-17_16_02_55
