CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2800703025;Alcorcón;2132;2;0;0;2018-10-17_13_18_06
2800703026;Alcorcón;1500;1;8.77;1;2018-10-17_13_18_06
2800703027;Alcorcón;2299;1;7.88;1;2018-10-17_13_18_06
2800703028;Alcorcón;2061;1;0;0;2018-10-17_13_18_06
2800703029;Alcorcón;1996;2;0;0;2018-10-17_13_18_06
2800704001;Alcorcón;0;0;0;0;2018-10-17_13_18_06
2800704002;Alcorcón;1830;3;0;0;2018-10-17_13_18_06
2800704003;Alcorcón;1835;9;10.00;1;2018-10-17_13_18_06
2800704004;Alcorcón;2016;2;0;0;2018-10-17_13_18_06
2800704005;Alcorcón;1932;3;0;0;2018-10-17_13_18_06
2800704006;Alcorcón;1774;1;0;0;2018-10-17_13_18_06
2800704007;Alcorcón;0;0;7.50;1;2018-10-17_13_18_06
2800704008;Alcorcón;1844;6;0;0;2018-10-17_13_18_06
2800704009;Alcorcón;1629;3;0;0;2018-10-17_13_18_06
2800704010;Alcorcón;1779;3;0;0;2018-10-17_13_18_06
2800704011;Alcorcón;1873;2;11.46;1;2018-10-17_13_18_06
2800704012;Alcorcón;1777;9;9.47;1;2018-10-17_13_18_06
2800704013;Alcorcón;1926;8;0;0;2018-10-17_13_18_06
2800704014;Alcorcón;1707;5;0;0;2018-10-17_13_18_06
2800704015;Alcorcón;0;0;0;0;2018-10-17_13_18_06
2800704016;Alcorcón;1929;1;0;0;2018-10-17_13_18_06
2800704017;Alcorcón;1705;5;0;0;2018-10-17_13_18_06
2800704018;Alcorcón;0;0;8.95;1;2018-10-17_13_18_06
2800704019;Alcorcón;1941;1;0;0;2018-10-17_13_18_06
2800704020;Alcorcón;2344;2;11.76;1;2018-10-17_13_18_06
2800704021;Alcorcón;1806;1;9.33;1;2018-10-17_13_18_06
2800704022;Alcorcón;2121;1;11.28;2;2018-10-17_13_18_06
2800704023;Alcorcón;2364;9;9.47;1;2018-10-17_13_18_06
2800704024;Alcorcón;2564;7;6.44;1;2018-10-17_13_18_06
2800704025;Alcorcón;1943;3;9.88;1;2018-10-17_13_18_06
2800704026;Alcorcón;2097;6;11.11;1;2018-10-17_13_18_06
2800704027;Alcorcón;2469;6;0;0;2018-10-17_13_18_06
2800704028;Alcorcón;2142;5;10.05;2;2018-10-17_13_18_06
2800704029;Alcorcón;1867;2;5.20;1;2018-10-17_13_18_06
2800704030;Alcorcón;1896;8;0;0;2018-10-17_13_18_06
2800704031;Alcorcón;2191;12;0;0;2018-10-17_13_18_06
