CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2800504005;Alcalá de Henares;1629;3;0;0;2018-10-17_12_18_18
2800504006;Alcalá de Henares;1598;4;8.82;1;2018-10-17_12_18_18
2800504007;Alcalá de Henares;2089;12;8.04;3;2018-10-17_12_18_18
2800504008;Alcalá de Henares;1862;11;6.25;3;2018-10-17_12_18_18
2800504009;Alcalá de Henares;1773;6;0;0;2018-10-17_12_18_18
2800504010;Alcalá de Henares;1727;12;8.50;1;2018-10-17_12_18_18
2800504011;Alcalá de Henares;1933;5;8.33;1;2018-10-17_12_18_18
2800504012;Alcalá de Henares;1801;5;0;0;2018-10-17_12_18_18
2800504013;Alcalá de Henares;2156;16;8.02;1;2018-10-17_12_18_18
2800504014;Alcalá de Henares;1971;18;4.75;1;2018-10-17_12_18_18
2800504015;Alcalá de Henares;1793;72;6.76;4;2018-10-17_12_18_18
2800504016;Alcalá de Henares;1768;9;0;0;2018-10-17_12_18_18
2800505001;Alcalá de Henares;2092;5;7.93;2;2018-10-17_12_18_18
2800505002;Alcalá de Henares;1843;6;7.88;1;2018-10-17_12_18_18
2800505003;Alcalá de Henares;1844;5;8.44;3;2018-10-17_12_18_18
2800505004;Alcalá de Henares;1733;5;7.35;1;2018-10-17_12_18_18
2800505005;Alcalá de Henares;1712;8;0;0;2018-10-17_12_18_18
2800505006;Alcalá de Henares;2444;1;9.72;1;2018-10-17_12_18_18
2800505007;Alcalá de Henares;1952;7;8.67;1;2018-10-17_12_18_18
2800505008;Alcalá de Henares;1966;5;0;0;2018-10-17_12_18_18
2800505009;Alcalá de Henares;1891;13;8.96;1;2018-10-17_12_18_18
2800505010;Alcalá de Henares;1985;1;0;0;2018-10-17_12_18_18
2800505011;Alcalá de Henares;1881;3;0;0;2018-10-17_12_18_18
2800505012;Alcalá de Henares;1853;1;0;0;2018-10-17_12_18_18
2800505013;Alcalá de Henares;1846;13;0;0;2018-10-17_12_18_18
2800505014;Alcalá de Henares;2075;2;4.67;1;2018-10-17_12_18_18
2800505015;Alcalá de Henares;1850;4;0;0;2018-10-17_12_18_18
2800505016;Alcalá de Henares;1792;2;0;0;2018-10-17_12_18_18
2800505017;Alcalá de Henares;1792;2;6.64;1;2018-10-17_12_18_18
2800505018;Alcalá de Henares;0;0;0;0;2018-10-17_12_18_18
2800505019;Alcalá de Henares;1768;1;0;0;2018-10-17_12_18_18
2800505020;Alcalá de Henares;2719;11;0;0;2018-10-17_12_18_18
2800505021;Alcalá de Henares;0;0;9.31;1;2018-10-17_12_18_18
2800505022;Alcalá de Henares;2064;12;8.91;4;2018-10-17_12_18_18
2800505023;Alcalá de Henares;1731;3;0;0;2018-10-17_12_18_18
2800505024;Alcalá de Henares;1451;5;0;0;2018-10-17_12_18_18
2800505025;Alcalá de Henares;1815;2;0;0;2018-10-17_12_18_18
2800505026;Alcalá de Henares;2320;4;8.82;2;2018-10-17_12_18_18
2800505027;Alcalá de Henares;1969;2;0;0;2018-10-17_12_18_18
2800505028;Alcalá de Henares;1924;4;0;0;2018-10-17_12_18_18
2800505029;Alcalá de Henares;1926;9;9.72;1;2018-10-17_12_18_18
2800505030;Alcalá de Henares;1976;2;0;0;2018-10-17_12_18_18
2800505031;Alcalá de Henares;1537;11;0;0;2018-10-17_12_18_18
