CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
Alcorcón;0;0;0;0;0;2018-10-18_10_37_02
Alcorcón;1617;0;0;0;0;2018-10-18_10_37_02
