CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2800701001;Alcorcón;undefined;undefined;undefined;undefined;2018-10-18_15_37_22
2800701009;Alcorcón;0;0;10.00;1;2018-10-18_15_37_22
