CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2809204003;Móstoles;1647;2;0;0;2018-10-18_13_09_07
2809204004;Móstoles;1478;1;7.11;2;2018-10-18_13_09_07
2809204005;Móstoles;1927;3;0;0;2018-10-18_13_09_07
2809204006;Móstoles;1753;5;8.86;1;2018-10-18_13_09_07
2809204007;Móstoles;2025;3;0;0;2018-10-18_13_09_07
2809204008;Móstoles;1802;3;0;0;2018-10-18_13_09_07
2809204009;Móstoles;1751;4;10.27;2;2018-10-18_13_09_07
2809204010;Móstoles;1961;2;0;0;2018-10-18_13_09_07
2809204011;Móstoles;1617;3;10.00;1;2018-10-18_13_09_07
2809204012;Móstoles;1570;3;8.23;1;2018-10-18_13_09_07
2809204013;Móstoles;1541;4;0;0;2018-10-18_13_09_07
2809204015;Móstoles;1251;2;0;0;2018-10-18_13_09_07
2809204016;Móstoles;1676;2;0;0;2018-10-18_13_09_07
2809204017;Móstoles;1733;1;9.19;1;2018-10-18_13_09_07
2809204018;Móstoles;1968;9;8.69;3;2018-10-18_13_09_07
2809204019;Móstoles;1000;1;8.86;1;2018-10-18_13_09_07
2809204020;Móstoles;1854;5;0;0;2018-10-18_13_09_07
2809204021;Móstoles;0;0;9.60;2;2018-10-18_13_09_07
2809204022;Móstoles;1654;7;9.67;1;2018-10-18_13_09_07
2809204023;Móstoles;1633;1;0;0;2018-10-18_13_09_07
2809204024;Móstoles;1615;2;0;0;2018-10-18_13_09_07
2809204025;Móstoles;1210;2;6.90;1;2018-10-18_13_09_07
2809204026;Móstoles;2150;14;8.77;2;2018-10-18_13_09_07
2809204027;Móstoles;2078;1;6.85;1;2018-10-18_13_09_07
2809204028;Móstoles;1768;3;0;0;2018-10-18_13_09_07
2809204029;Móstoles;0;0;0;0;2018-10-18_13_09_07
2809204030;Móstoles;1739;8;8.33;1;2018-10-18_13_09_07
2809204031;Móstoles;0;0;0;0;2018-10-18_13_09_07
2809204032;Móstoles;1738;6;0;0;2018-10-18_13_09_07
2809204033;Móstoles;1624;3;0;0;2018-10-18_13_09_07
2809204034;Móstoles;0;0;0;0;2018-10-18_13_09_07
2809204035;Móstoles;1853;9;8.55;1;2018-10-18_13_09_07
2809204036;Móstoles;2016;2;9.97;2;2018-10-18_13_09_07
2809204037;Móstoles;1887;19;8.29;2;2018-10-18_13_09_07
2809204038;Móstoles;0;0;0;0;2018-10-18_13_09_07
2809204039;Móstoles;1995;3;9.72;2;2018-10-18_13_09_07
